N;educ;south;nonwhite;female;married;exper;union;lwage;age;year;y85
49;12;0;1;0;1;34;1;2.0541;51;78;0
50;13;0;0;0;0;8;0;1.8326;26;78;0
51;12;0;0;0;1;36;0;1.9459;53;78;0
52;12;0;0;1;1;30;0;1.8326;47;78;0
53;16;0;0;1;1;5;1;1.1856;26;78;0
54;11;0;0;1;1;13;0;0.9118;29;78;0
55;11;0;0;0;0;2;1;1.8718;18;78;0
56;9;0;0;0;1;12;1;1.9459;26;78;0
57;18;0;0;0;1;24;0;2.1691;47;78;0
58;12;0;1;0;1;17;1;2.0149;34;78;0
59;8;0;0;0;1;50;0;1.6448;63;78;0
60;18;0;0;0;1;8;0;2.1072;31;78;0
61;12;0;0;1;0;11;1;1.6292;28;78;0
62;12;0;0;0;1;7;0;1.0594;24;78;0
63;17;0;0;1;1;26;1;2.1691;48;78;0
64;8;0;0;0;1;19;0;1.3218;32;78;0
65;12;0;1;1;0;13;1;1.8555;30;78;0
66;12;0;0;0;1;9;1;1.7492;26;78;0
67;14;0;0;0;1;38;0;1.9661;57;78;0
68;12;0;0;0;0;4;0;1.1982;21;78;0
69;14;0;0;1;0;11;0;1.9279;30;78;0
70;10;0;0;0;1;43;0;2.3026;58;78;0
71;11;0;1;0;1;15;0;1.3863;31;78;0
72;12;0;1;0;1;31;1;-0.47;48;78;0
73;6;0;1;0;1;44;1;1.3151;55;78;0
74;16;0;0;0;1;16;0;2.8994;37;78;0
75;12;0;0;0;1;25;1;1.9981;42;78;0
76;14;0;0;0;1;19;1;1.7047;38;78;0
77;12;0;0;1;0;3;0;1.1787;20;78;0
78;13;0;0;1;0;14;0;1.6094;32;78;0
79;12;0;0;0;1;30;0;2.0149;47;78;0
80;12;0;0;0;1;32;1;2.4849;49;78;0
81;10;0;0;0;1;48;1;2.0794;63;78;0
82;12;0;0;0;0;36;1;2.1401;53;78;0
83;12;0;0;1;1;7;1;1.5828;24;78;0
84;12;0;0;0;1;19;1;2.3346;36;78;0
85;18;0;0;0;0;11;0;1.6503;34;78;0
86;13;0;0;0;1;32;1;1.5476;50;78;0
87;12;0;0;1;1;10;0;1.7707;27;78;0
88;14;0;0;1;0;3;0;1.6094;22;78;0
89;16;0;0;1;1;10;0;1.2947;31;78;0
90;16;0;0;1;1;9;0;2.0402;30;78;0
91;12;0;0;1;1;13;1;1.3218;30;78;0
92;12;0;0;0;1;20;0;1.8563;37;78;0
93;12;0;0;0;1;30;1;2.1102;47;78;0
94;12;0;0;0;1;10;1;2.3632;27;78;0
95;18;0;0;1;0;17;0;0.6707;40;78;0
96;10;0;0;0;1;7;1;1.579;22;78;0
97;8;0;0;0;1;32;0;2.1401;45;78;0
98;9;0;0;0;1;36;1;1.663;50;78;0
99;14;0;0;0;1;43;0;2.6127;62;78;0
100;16;0;0;0;1;9;0;2.1691;30;78;0
101;8;0;0;0;1;41;1;1.6094;54;78;0
102;12;0;0;0;1;21;1;2.0794;38;78;0
103;14;0;0;0;1;26;0;1.5141;45;78;0
104;12;0;0;1;1;21;0;1.1907;38;78;0
105;12;0;0;1;1;42;0;1.7918;59;78;0
106;12;0;0;0;1;41;0;2.23;58;78;0
107;13;0;0;1;1;22;0;0.9746;40;78;0
108;18;0;0;0;1;10;0;2.0412;33;78;0
109;12;0;0;0;0;3;1;1.7918;20;78;0
110;14;0;0;0;0;14;0;2.1628;33;78;0
111;12;0;0;0;1;24;1;2.4849;41;78;0
112;12;0;0;0;1;13;1;1.7918;30;78;0
113;12;0;0;1;0;41;1;1.6956;58;78;0
114;14;0;0;0;1;16;0;2.5257;35;78;0
115;12;1;0;0;0;3;0;0.9746;20;78;0
116;16;1;0;0;1;27;0;2.109;48;78;0
117;7;1;0;1;0;31;0;1.2947;43;78;0
118;11;1;0;1;0;2;0;0.9746;18;78;0
119;12;1;0;0;1;19;0;1.2238;36;78;0
120;1;1;0;0;1;47;0;1.204;53;78;0
121;12;1;0;0;0;1;0;1.0473;18;78;0
122;9;1;0;0;1;5;0;1.8216;19;78;0
123;12;1;1;1;0;38;1;1.1394;55;78;0
124;12;1;0;1;0;2;0;0.9163;19;78;0
125;12;1;0;0;1;19;0;2.2083;36;78;0
126;12;1;0;0;1;38;1;2.1691;55;78;0
127;12;1;0;0;1;22;0;1.7918;39;78;0
128;12;1;0;0;1;6;0;1.3863;23;78;0
129;13;1;0;1;1;15;0;1.8718;33;78;0
130;12;1;0;0;1;27;0;1.204;44;78;0
131;12;1;0;1;0;1;0;1.2164;18;78;0
132;17;1;0;1;1;12;0;1.9095;34;78;0
133;16;1;0;0;1;31;0;1.7636;52;78;0
134;10;1;0;0;1;18;0;1.2958;33;78;0
135;7;1;1;1;0;33;0;1.3218;45;78;0
136;6;1;0;0;0;39;0;1.5669;50;78;0
137;16;1;0;0;0;4;0;1.6094;25;78;0
138;14;1;0;1;0;4;0;1.4291;23;78;0
139;14;1;0;1;0;2;0;1.6582;21;78;0
140;17;1;0;0;0;4;0;1.9058;26;78;0
141;13;1;0;1;0;21;1;2.0149;39;78;0
142;4;1;0;0;0;13;0;0.9555;22;78;0
143;17;1;0;0;1;18;0;2.6455;40;78;0
144;14;1;0;1;0;9;0;2.5269;28;78;0
145;16;1;0;0;0;8;0;1.6094;29;78;0
146;10;1;1;0;1;35;0;1.3863;50;78;0
147;6;1;0;1;1;17;0;1.0647;28;78;0
148;13;0;0;0;0;1;0;1.5261;19;78;0
149;16;0;0;0;1;3;1;1.4469;24;78;0
150;10;0;0;0;1;41;1;1.8718;56;78;0
151;12;0;0;1;1;41;1;3.0564;58;78;0
152;18;0;0;0;1;36;0;1.8839;59;78;0
153;10;0;1;1;1;16;1;1.2528;31;78;0
154;12;0;1;1;0;36;1;1.5892;53;78;0
155;12;0;1;0;1;39;0;1.8205;56;78;0
156;13;0;0;0;1;2;0;1.7918;20;78;0
157;15;0;0;0;1;8;0;1.8137;28;78;0
158;12;0;0;0;1;35;0;2.1972;52;78;0
159;12;0;0;1;0;12;0;1.6607;29;78;0
160;12;0;0;1;0;11;0;1.6094;28;78;0
161;18;0;1;1;0;10;0;1.8839;33;78;0
162;16;0;1;1;0;3;0;1.3218;24;78;0
163;10;0;0;0;1;48;1;1.2528;63;78;0
164;15;0;0;0;0;20;1;2.495;40;78;0
165;6;0;0;0;1;51;1;1.8718;62;78;0
166;12;0;0;1;1;12;0;1.2238;29;78;0
167;10;0;0;0;1;26;0;1.7385;41;78;0
168;9;0;0;1;1;34;1;2.0794;48;78;0
169;13;0;0;1;1;35;0;1.4453;53;78;0
170;12;0;0;1;0;12;0;1.4469;29;78;0
171;11;0;0;0;0;5;0;1.2879;21;78;0
172;14;0;0;0;0;8;0;1.7492;27;78;0
173;12;0;0;0;1;29;1;2.0477;46;78;0
174;7;0;0;0;1;38;1;1.8326;50;78;0
175;12;0;0;0;1;33;0;1.3987;50;78;0
176;8;0;0;0;1;42;0;1.8326;55;78;0
177;16;0;0;0;0;1;0;1.9315;22;78;0
178;13;0;1;0;0;17;1;1.9577;35;78;0
179;16;0;0;1;1;5;0;1.8326;26;78;0
180;12;0;0;1;0;13;0;1.2528;30;78;0
181;12;0;0;1;1;23;0;1.2384;40;78;0
182;16;0;0;1;1;12;1;0.6131;33;78;0
183;12;0;1;0;1;20;1;2.0149;37;78;0
184;13;0;0;0;1;33;0;2.1691;51;78;0
185;9;0;0;0;1;22;0;1.43;36;78;0
186;10;0;0;1;0;27;1;1.6405;42;78;0
187;14;0;0;0;1;9;1;1.9279;28;78;0
188;16;0;0;0;0;5;0;1.981;26;78;0
189;12;0;0;0;1;8;0;1.5581;25;78;0
190;12;0;0;0;1;32;1;2.1691;49;78;0
191;11;0;0;0;1;12;1;2.0149;28;78;0
192;16;0;0;0;0;2;0;1.9772;23;78;0
193;12;0;0;0;1;32;1;1.9033;49;78;0
194;12;0;0;0;1;32;0;1.8326;49;78;0
195;18;0;1;0;1;13;1;2.2571;36;78;0
196;8;0;0;0;1;34;1;1.8563;47;78;0
197;9;0;0;1;0;16;0;-0.078;30;78;0
198;16;0;0;0;1;8;0;1.674;29;78;0
199;10;0;1;0;0;33;0;1.6094;48;78;0
200;12;0;0;0;1;24;1;2.0794;41;78;0
201;9;0;1;0;1;34;1;1.8326;48;78;0
202;18;0;0;0;1;30;0;2.9208;53;78;0
203;12;0;0;0;0;4;1;1.1394;21;78;0
204;16;0;1;1;1;5;0;1.8326;26;78;0
205;12;0;0;1;1;5;0;1.5841;22;78;0
206;10;0;0;0;1;44;1;2.082;59;78;0
207;11;0;0;0;0;8;0;1.7047;24;78;0
208;12;0;0;1;1;26;0;1.8245;43;78;0
209;14;0;0;0;1;37;0;1.9924;56;78;0
210;12;0;1;1;0;20;0;1.0296;37;78;0
211;16;0;1;0;1;16;1;2.2558;37;78;0
212;12;0;0;0;1;14;0;2.3026;31;78;0
213;10;0;0;1;0;15;1;1.6376;30;78;0
214;12;0;0;0;0;3;1;1.5841;20;78;0
215;16;0;0;0;1;11;0;2.1768;32;78;0
216;8;0;0;0;1;40;1;1.8326;53;78;0
217;12;0;0;1;0;21;0;2.4079;38;78;0
218;13;0;0;0;1;3;0;1.9636;21;78;0
219;12;0;0;1;0;17;0;1.9741;34;78;0
220;12;0;0;0;0;6;0;1.4351;23;78;0
221;11;1;1;0;1;28;1;2.0794;44;78;0
222;12;1;0;1;1;6;0;1.204;23;78;0
223;14;1;0;1;0;4;0;1.2528;23;78;0
224;12;1;0;0;1;41;0;2.1691;58;78;0
225;12;1;0;0;0;16;1;2.0149;33;78;0
226;12;1;0;1;1;6;0;0.452;23;78;0
227;12;1;0;0;1;39;1;2.0794;56;78;0
228;10;1;0;0;1;15;0;1.6928;30;78;0
229;12;1;0;1;1;18;0;1.4325;35;78;0
230;15;1;0;0;1;7;0;1.4929;27;78;0
231;16;1;0;0;1;36;0;1.1394;57;78;0
232;14;1;0;1;1;6;0;1.7237;25;78;0
233;12;1;1;1;0;13;0;1.5261;30;78;0
234;13;1;0;0;0;2;0;1.0986;20;78;0
235;5;1;0;0;1;50;0;1.1575;60;78;0
236;12;1;0;1;1;21;0;1.5581;38;78;0
237;12;1;0;0;1;28;0;1.2936;45;78;0
238;12;1;0;0;1;12;1;1.4759;29;78;0
239;15;1;1;1;1;29;0;1.2809;49;78;0
240;12;1;0;0;1;7;0;1.3863;24;78;0
241;12;1;0;0;1;22;0;2.1203;39;78;0
242;12;1;1;1;0;11;0;1.3481;28;78;0
243;12;0;0;1;0;40;0;1.5217;57;78;0
244;12;0;0;0;1;31;0;1.5315;48;78;0
245;12;0;0;1;1;10;0;1.4214;27;78;0
246;16;0;0;0;1;9;0;1.981;30;78;0
247;12;0;1;1;1;10;1;1.4469;27;78;0
248;15;0;0;0;1;42;0;3.1322;62;78;0
249;12;0;0;1;1;45;0;0.8873;62;78;0
250;17;0;0;0;1;8;1;2.3514;30;78;0
251;15;0;0;0;1;32;0;2.1691;52;78;0
252;14;0;0;0;0;1;0;1.2528;20;78;0
253;12;0;0;1;1;17;0;1.4271;34;78;0
254;14;0;0;0;1;10;0;1.7405;29;78;0
255;12;0;0;0;1;18;1;2.2266;35;78;0
256;12;0;0;1;0;10;1;0.9676;27;78;0
257;12;0;0;0;1;29;1;1.8326;46;78;0
258;12;0;0;1;0;39;0;1.6094;56;78;0
259;12;0;0;1;1;31;0;1.1787;48;78;0
260;10;0;0;0;1;18;1;2.2513;33;78;0
261;12;0;1;1;1;14;1;2.0149;31;78;0
262;12;0;0;1;1;8;0;1.0116;25;78;0
263;12;1;0;0;0;9;0;1.6094;26;78;0
264;16;1;0;1;0;3;0;1.0296;24;78;0
265;9;1;1;1;1;24;0;0.9746;38;78;0
266;7;1;0;1;1;21;0;0.8109;33;78;0
267;12;1;0;0;1;15;0;1.2879;32;78;0
268;18;1;0;0;0;2;0;1.8005;25;78;0
269;16;1;1;1;0;12;0;1.0986;33;78;0
270;12;1;1;1;1;7;0;1.1939;24;78;0
271;9;1;1;1;0;33;0;1.3218;47;78;0
272;15;1;0;0;0;5;0;1.6487;25;78;0
273;18;1;0;1;0;3;0;1.3218;26;78;0
274;11;1;0;1;1;8;0;0.899;24;78;0
275;13;1;0;1;1;5;0;1.3797;23;78;0
276;12;1;0;1;1;1;0;1.2264;18;78;0
277;12;0;0;1;1;21;0;0.922;38;78;0
278;12;0;0;0;0;1;0;0.9773;18;78;0
279;11;0;0;1;1;37;0;1.0159;53;78;0
280;12;0;0;0;1;17;1;1.6094;34;78;0
281;12;0;0;1;0;43;0;1.6582;60;78;0
282;12;0;0;0;0;4;0;1.7272;21;78;0
283;12;0;0;0;0;6;0;1.0986;23;78;0
284;8;0;0;0;1;49;1;1.9459;62;78;0
285;16;0;0;0;1;13;0;2.2783;34;78;0
286;18;0;0;0;1;11;1;1.5333;34;78;0
287;8;0;0;1;1;18;0;1.0473;31;78;0
288;7;1;1;0;1;14;0;1.5179;26;78;0
289;15;1;0;1;1;20;0;1.6297;40;78;0
290;14;1;0;1;0;38;0;1.8718;57;78;0
291;10;1;0;0;1;46;1;1.6094;61;78;0
292;18;1;0;0;1;20;0;2.6872;43;78;0
293;16;1;0;1;0;7;0;1.8908;28;78;0
294;12;1;0;1;1;10;0;1.1787;27;78;0
295;18;1;0;0;1;12;0;2.708;35;78;0
296;12;1;0;1;0;13;0;2.1914;30;78;0
297;16;1;0;0;1;20;0;2.1203;41;78;0
298;12;1;0;0;0;6;0;1.5041;23;78;0
299;9;1;0;1;0;6;0;1.1787;20;78;0
300;8;1;0;0;1;40;0;1.1632;53;78;0
301;12;1;0;1;0;1;0;0.9445;18;78;0
302;10;1;1;0;0;14;1;1.6094;29;78;0
303;12;1;0;0;0;5;0;1.0647;22;78;0
304;8;1;0;0;1;17;0;1.0647;30;78;0
305;12;1;0;0;1;14;0;2.0015;31;78;0
306;12;1;0;1;1;12;0;1.1394;29;78;0
307;13;1;0;0;1;30;1;1.9913;48;78;0
308;14;1;0;0;1;38;1;2.0149;57;78;0
309;12;1;1;0;1;23;0;1.0647;40;78;0
310;9;1;0;0;0;5;0;0.9746;19;78;0
311;12;1;0;0;1;36;1;2.1576;53;78;0
312;11;1;1;1;0;34;0;1.1787;50;78;0
313;13;1;0;0;1;5;1;1.9936;23;78;0
314;6;0;1;0;1;48;0;1.5738;59;78;0
315;6;0;0;0;1;38;0;2.2225;49;78;0
316;15;0;1;1;0;8;0;1.6549;28;78;0
317;12;0;0;1;0;39;1;1.7272;56;78;0
318;16;0;0;1;0;16;1;2.0314;37;78;0
319;14;0;0;1;1;25;0;0.452;44;78;0
320;13;1;0;0;1;4;0;1.3218;22;78;0
321;12;1;0;0;0;6;0;1.6094;23;78;0
322;12;1;0;1;0;46;0;2.0215;63;78;0
323;18;1;1;1;0;22;0;1.6818;45;78;0
324;11;1;0;0;1;27;0;1.8326;43;78;0
325;12;1;0;0;1;4;1;1.2528;21;78;0
326;11;1;0;0;1;41;1;1.6341;57;78;0
327;16;1;1;1;0;30;1;2.3026;51;78;0
328;14;1;0;1;1;3;0;1.743;22;78;0
329;7;1;1;0;1;21;1;1.8326;33;78;0
330;12;1;1;1;1;22;0;1.0498;39;78;0
331;18;1;0;0;0;9;0;2.1576;32;78;0
332;16;1;0;0;1;27;0;2.3826;48;78;0
333;16;1;0;1;0;2;0;1.5581;23;78;0
334;12;0;0;1;1;8;1;1.4231;25;78;0
335;10;0;0;1;1;27;0;1.1632;42;78;0
336;12;0;0;0;1;13;0;1.6243;30;78;0
337;10;0;0;0;1;43;1;2.0149;58;78;0
338;14;0;0;0;1;16;0;1.9867;35;78;0
339;12;0;0;0;1;12;0;1.0498;29;78;0
340;15;0;0;1;0;4;0;1.3863;24;78;0
341;12;0;0;1;1;4;0;1.3218;21;78;0
342;12;0;0;1;0;12;1;1.5261;29;78;0
343;16;0;0;0;1;5;0;2.1972;26;78;0
344;18;1;0;0;1;36;0;1.8971;59;78;0
345;2;1;1;0;1;55;0;1.1394;62;78;0
346;12;1;0;0;0;17;0;1.3545;34;78;0
347;12;1;0;0;1;14;0;2.1203;31;78;0
348;18;1;0;0;0;31;0;2.492;54;78;0
349;12;1;0;1;0;21;0;1.0986;38;78;0
350;12;1;0;0;0;5;0;1.5993;22;78;0
351;14;1;0;1;1;22;0;2.0949;41;78;0
352;7;1;0;0;1;19;1;1.6094;31;78;0
353;11;1;0;0;1;30;0;2.5257;46;78;0
354;14;1;0;0;1;9;0;1.8326;28;78;0
355;12;1;0;1;1;30;0;1.5686;47;78;0
356;12;1;0;0;0;9;1;1.7143;26;78;0
357;12;1;0;1;0;7;0;1.1787;24;78;0
358;13;1;0;1;0;1;0;0.6931;19;78;0
359;12;1;0;0;1;14;1;1.5581;31;78;0
360;8;0;0;0;1;37;1;2.3979;50;78;0
361;12;0;0;1;1;28;0;1.6094;45;78;0
362;13;0;0;1;1;8;1;1.7492;26;78;0
363;12;0;0;0;1;36;1;1.6292;53;78;0
364;12;0;0;1;0;1;0;1.2528;18;78;0
365;12;0;0;1;0;17;0;1.6094;34;78;0
366;15;0;0;0;0;5;0;1.3218;25;78;0
367;12;0;0;1;1;4;0;1.2528;21;78;0
368;12;0;0;0;1;15;1;1.9021;32;78;0
369;8;1;0;0;1;18;0;0.9925;31;78;0
370;16;1;0;0;1;2;0;1.3863;23;78;0
371;16;1;0;0;1;6;0;1.8971;27;78;0
372;12;1;0;1;1;23;0;1.7272;40;78;0
373;12;1;0;1;0;12;0;0.9746;29;78;0
374;12;1;0;0;1;20;1;2.3026;37;78;0
375;16;1;0;0;1;17;0;2.3026;38;78;0
376;16;0;0;1;1;8;0;2.0412;29;78;0
377;12;0;0;1;0;4;0;1.5315;21;78;0
378;12;0;1;0;0;13;0;1.3863;30;78;0
379;16;0;0;0;0;12;0;2.0468;33;78;0
380;15;0;0;0;0;17;0;2.29;37;78;0
381;17;0;0;1;1;8;0;1.8718;30;78;0
382;10;0;0;0;1;42;0;1.8654;57;78;0
383;10;0;0;0;0;5;1;1.7309;20;78;0
384;16;0;0;0;0;18;1;1.9741;39;78;0
385;12;0;0;1;0;3;0;1.4469;20;78;0
386;8;0;0;0;0;22;0;1.4271;35;78;0
387;12;0;0;1;1;18;0;1.2649;35;78;0
388;12;0;0;0;1;8;0;1.9636;25;78;0
389;15;0;0;0;1;1;0;1.7272;21;78;0
390;15;0;0;1;0;4;0;1.4858;24;78;0
391;12;0;0;0;1;11;0;1.3863;28;78;0
392;12;0;0;0;1;45;1;2.1518;62;78;0
393;12;0;0;0;1;35;0;2.1019;52;78;0
394;11;1;1;0;0;22;0;1.0116;38;78;0
395;12;1;0;1;1;13;0;1.7272;30;78;0
396;14;1;0;0;1;34;0;3.3514;53;78;0
397;10;1;0;0;1;9;1;1.3218;24;78;0
398;10;1;0;0;1;36;0;1.7918;51;78;0
399;10;1;0;0;1;14;0;1.6094;29;78;0
400;12;0;0;1;1;2;0;1.1291;19;78;0
401;8;0;0;0;1;32;1;1.6487;45;78;0
402;14;0;0;1;0;39;0;1.9459;58;78;0
403;12;0;0;1;1;9;0;0.865;26;78;0
404;18;0;0;0;1;3;0;1.9373;26;78;0
405;10;0;0;0;1;8;0;0.865;23;78;0
406;16;0;0;0;1;7;0;1.3806;28;78;0
407;14;0;0;0;1;7;0;1.6094;26;78;0
408;13;0;0;0;1;4;0;1.8326;22;78;0
409;16;0;0;0;0;5;0;1.6677;26;78;0
410;14;1;1;0;0;6;0;1.0986;25;78;0
411;12;1;0;0;1;37;0;1.8795;54;78;0
412;6;1;1;0;0;11;0;1.0986;22;78;0
413;8;1;0;1;0;41;1;1.6094;54;78;0
414;12;1;1;1;0;30;0;2.7444;47;78;0
415;16;1;0;0;1;13;0;2.1638;34;78;0
416;18;0;0;1;0;4;0;1.6094;27;78;0
417;12;0;0;1;1;16;0;1.7272;33;78;0
418;13;0;0;0;1;8;1;1.3083;26;78;0
419;16;0;0;0;1;32;0;2.0149;53;78;0
420;12;0;0;1;0;6;0;0.9704;23;78;0
421;14;0;0;1;1;30;0;1.361;49;78;0
422;12;0;0;1;0;1;0;1.0986;18;78;0
423;12;0;0;0;0;4;1;1.6487;21;78;0
424;13;0;0;0;1;41;1;2.6912;59;78;0
425;12;0;0;0;1;22;1;2.0412;39;78;0
426;12;0;0;0;1;22;0;1.7619;39;78;0
427;15;0;0;0;1;31;1;2.5257;51;78;0
428;16;0;0;1;0;2;1;1.8524;23;78;0
429;15;0;0;0;1;19;1;2.0794;39;78;0
430;12;0;0;1;1;14;0;1.8101;31;78;0
431;11;0;0;1;0;16;0;1.204;32;78;0
432;12;1;0;0;0;3;0;1.3466;20;78;0
433;12;1;0;0;1;3;1;1.5146;20;78;0
434;8;1;0;0;1;30;1;2.1102;43;78;0
435;12;1;0;1;0;3;0;0.9163;20;78;0
436;4;1;1;0;1;55;0;1.1474;64;78;0
437;12;1;0;0;0;3;0;1.1394;20;78;0
438;11;1;0;0;1;19;1;2.5257;35;78;0
439;9;1;0;1;0;27;1;1.4553;41;78;0
440;12;1;0;0;1;9;1;1.7918;26;78;0
441;12;0;1;0;0;13;0;1.4351;30;78;0
442;16;0;0;0;1;31;0;2.5494;52;78;0
443;12;0;0;1;0;16;0;1.5422;33;78;0
444;11;0;0;0;0;4;0;0.9746;20;78;0
445;16;0;0;0;1;3;0;2.0015;24;78;0
446;16;0;0;1;0;4;0;1.4469;25;78;0
447;12;0;0;1;1;36;1;1.3218;53;78;0
448;9;1;0;0;1;6;0;1.6094;20;78;0
449;12;1;0;0;1;19;0;1.9867;36;78;0
450;18;1;0;0;1;14;0;2.0669;37;78;0
451;12;0;0;0;1;38;0;1.461;55;78;0
452;13;0;0;0;1;8;1;1.8101;26;78;0
453;12;0;0;1;1;4;0;1.5581;21;78;0
454;15;0;0;0;0;12;0;1.8326;32;78;0
455;12;0;0;0;1;41;0;2.4445;58;78;0
456;12;0;0;1;1;24;0;1.743;41;78;0
457;11;0;0;0;1;17;0;1.7918;33;78;0
458;12;0;0;1;1;8;0;1.1787;25;78;0
459;12;0;0;0;0;2;0;1.3863;19;78;0
460;12;0;0;0;1;2;0;1.2448;19;78;0
461;12;0;0;1;1;39;0;1.4469;56;78;0
462;12;0;0;0;1;6;0;2.5257;23;78;0
463;9;0;0;1;1;34;0;1.0296;48;78;0
464;17;0;0;0;1;14;0;2.0149;36;78;0
465;17;0;0;0;1;7;0;2.0949;29;78;0
466;10;0;0;1;0;46;0;0.9943;61;78;0
467;18;0;0;0;1;4;0;1.9279;27;78;0
468;12;0;0;1;1;12;0;0.5596;29;78;0
469;12;0;0;1;1;6;0;1.2164;23;78;0
470;6;0;0;0;1;15;0;1.4469;26;78;0
471;13;0;0;0;1;12;1;1.5041;30;78;0
472;17;0;0;0;1;15;0;2.1691;37;78;0
473;12;0;0;0;1;15;0;2.0794;32;78;0
474;12;0;1;1;1;12;1;1.1151;29;78;0
475;12;0;0;0;1;23;0;1.679;40;78;0
476;14;0;0;0;0;41;0;2.1848;60;78;0
477;12;0;0;1;0;42;0;1.5041;59;78;0
478;12;0;0;0;1;10;0;1.7047;27;78;0
479;10;0;0;0;1;20;0;1.4586;35;78;0
480;13;0;0;0;1;4;1;1.7297;22;78;0
481;16;0;0;1;1;11;1;1.8326;32;78;0
482;12;0;0;1;0;6;0;1.1394;23;78;0
483;14;0;0;0;1;19;0;1.2496;38;78;0
484;12;0;0;0;1;32;0;2.2401;49;78;0
485;12;0;0;0;1;21;0;1.3863;38;78;0
486;11;0;0;0;1;39;0;1.2164;55;78;0
487;18;0;0;0;1;15;0;2.0815;38;78;0
488;12;0;0;1;1;25;1;1.5943;42;78;0
489;12;0;0;1;0;18;0;1.0733;35;78;0
490;12;0;0;1;1;21;0;1.7047;38;78;0
491;17;0;0;1;1;11;1;2.2437;33;78;0
492;14;0;0;0;0;6;0;1.1394;25;78;0
493;12;0;1;0;0;5;1;0.8755;22;78;0
494;15;1;1;1;1;12;0;2.1041;32;78;0
495;8;1;1;0;1;44;0;1.0986;57;78;0
496;16;1;1;1;0;7;0;2.1691;28;78;0
497;16;1;1;1;0;25;0;1.3481;46;78;0
498;12;0;0;1;0;5;1;1.0986;22;78;0
499;12;0;0;0;1;27;0;2.0794;44;78;0
500;10;0;0;1;0;36;1;1.2936;51;78;0
501;12;0;0;0;0;31;0;2.1401;48;78;0
502;14;0;0;0;0;27;0;2.4049;46;78;0
503;13;0;0;1;1;44;0;1.3987;62;78;0
504;16;0;0;1;0;7;0;1.4291;28;78;0
505;12;0;0;0;0;13;1;1.9913;30;78;0
506;14;0;0;1;1;36;0;1.3545;55;78;0
507;12;0;0;1;0;4;0;1.2669;21;78;0
508;12;0;0;0;1;30;1;2.0477;47;78;0
509;10;0;0;0;1;16;0;1.6094;31;78;0
510;17;0;0;0;1;15;1;2.0149;37;78;0
511;13;0;0;1;0;2;0;0.9725;20;78;0
512;12;0;0;0;1;32;1;1.8326;49;78;0
513;12;0;0;0;1;9;0;1.204;26;78;0
514;18;0;0;0;1;21;0;2.3026;44;78;0
515;12;0;0;1;1;4;0;1.2528;21;78;0
516;13;0;0;1;1;35;0;1.5041;53;78;0
517;14;0;0;1;1;5;0;1.3863;24;78;0
